"name","playstore_price","appstore_price","price","playstore_rating","appstore_rating","rounded_rating","store_count","cost_per_month","income_per_month","expected_lifespan","expected_net_revenue","expected_net_profit"
"Geometry Dash Lite","0","0.00","0","4.5","5.0","5.0",2,1000,10000,"11","1188000.00","1178000.00"
"Egg, Inc.","0","0.00","0","4.7","5.0","5.0",2,1000,10000,"11","1188000.00","1178000.00"
"PewDiePie's Tuber Simulator","0","0.00","0","4.8","5.0","5.0",2,1000,10000,"11","1188000.00","1178000.00"
"The Guardian","0","0.00","0","4.7","5.0","5.0",2,1000,10000,"11","1188000.00","1178000.00"
"Domino's Pizza USA","0","0.00","0","4.7","5.0","5.0",2,1000,10000,"11","1188000.00","1178000.00"
"ASOS","0","0.00","0","4.7","5.0","5.0",2,1000,10000,"11","1188000.00","1178000.00"
"Cytus","0","1.99","1.99","4.7","5.0","5.0",2,1000,10000,"11","1188000.00","1168100.00"
"The EO Bar","6.99","6.99","6.99","4.7","5.0","5.0",2,1000,10000,"11","1188000.00","1118100.00"
"The Washington Post Classic","0","0.00","0","4.5","4.5","4.5",2,1000,10000,"10","1080000.00","1070000.00"
"My Horse","0","0.00","0","4.5","4.5","4.5",2,1000,10000,"10","1080000.00","1070000.00"
"Bible","0","0.00","0","4.7","4.5","4.5",2,1000,10000,"10","1080000.00","1070000.00"
"Frozen Free Fall","0","0.00","0","4.3","4.5","4.5",2,1000,10000,"10","1080000.00","1070000.00"
"Talking Ginger 2","0","0.00","0","4.2","4.5","4.5",2,1000,10000,"10","1080000.00","1070000.00"
"Narcos: Cartel Wars","0","0.00","0","4.7","4.5","4.5",2,1000,10000,"10","1080000.00","1070000.00"
"Mad Skills Motocross","0","0.99","0.99","4.0","4.5","4.5",2,1000,10000,"10","1080000.00","1070000.00"
